Project.Proponent,Agent,Significantly involved persons,Project Name,Project ID,Method,Method URL,Method.Type,Project Description,Project activities,"Project suppressors, if applicable",Date Project Registered,Crediting period start date,Crediting period end date,Project location,Project location (postcode),"Project Area(s), where the project is an area based offsets project",Project Mapping File URL,Carbon Estimation Area mapping file URL,Carbon Estimation Area Supplementary information,"If the area-based project is covered by a regional natural resource management plan, is it consistent with that plan?",Joint Implementation project,Is the project area or project areas subject to a Carbon Maintenance Obligation (CMO)?,Conditional upon all regulatory approvals being obtained,Conditional upon the written consent of relevant interest holders,"Nominated Permanence Period, if applicable","Start date of permanence period, if applicable","Finish date of permanence period, if applicable",Contracted on,Contract ID,ACCUs Total units issued,KACCUs Total units issued,KACCUs Units Issued in Financial Year 2012/13,KACCUs Units Issued in Financial Year 2013/14,KACCUs Units Issued in Financial Year 2014/15,KACCUs Units Issued in Financial Year 2015/16,KACCUs Units Issued in Financial Year 2016/17,KACCUs Units Issued in Financial Year 2017/18,KACCUs Units Issued in Financial Year 2018/19,KACCUs Units Issued in Financial Year 2019/20,KACCUs Units Issued in Financial Year 2020/21,KACCUs Units Issued in Financial Year 2021/22,KACCUs Units Issued in Financial Year 2022/23,KACCUs Units Issued in Financial Year 2023/24,KACCUs Units Issued in Financial Year 2024/25,Name of person/s to whom the KACCUs issued,Total Number of KACCUs units relinquished,NKACCUs Total units issued,NKACCUs Units Issued in Financial Year 2012/13,NKACCUs Units Issued in Financial Year 2013/14,NKACCUs Units Issued in Financial Year 2014/15,NKACCUs Units Issued in Financial Year 2015/16,NKACCUs Units Issued in Financial Year 2016/17,NKACCUs Units Issued in Financial Year 2017/18,NKACCUs Units Issued in Financial Year 2018/19,NKACCUs Units Issued in Financial Year 2019/20,NKACCUs Units Issued in Financial Year 2020/21,NKACCUs Units Issued in Financial Year 2021/22,NKACCUs Units Issued in Financial Year 2022/23,NKACCUs Units Issued in Financial Year 2023/24,NKACCUs Units Issued in Financial Year 2024/25,Name of person/s to whom the NKACCUs issued,Total Number of NKACCUs units relinquished,Notes,Project revoked,proponent_country_manual
Terra Carbon Pty Limited,n/a,n/a,North West Queensland Conservation Initiative Site #1,ERF154611,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 3),https://www.legislation.gov.au/Details/F2018C00125,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,"Management of the timing, and the extent, of grazing; Management, in a humane manner, of feral animals",Feral Animals; Livestock,28/08/2020,28/08/2020,27/08/2045,Queensland,4871,"2573/SP273201 

The project is in the ETHERIDGE SHIRE local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF154611.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,No,United States
Terra Carbon Pty Limited,n/a,n/a,Catchment Conservation Alliance - Great Barrier Reef Initiative Site #8,ERF143832,Carbon Credits (Carbon Farming Initiative-Avoided Clearing of Native Regrowth) Methodology Determination 2015 (Compilation No. 1),https://www.legislation.gov.au/Details/F2018C00127,Vegetation,This project avoids clearing of native forest that is permitted to be cleared on land that has historically been subject to clearing.,Avoids emissions by not clearing native forest,n/a,18/05/2020,18/05/2020,17/05/2045,Queensland,4630,"2/YL543 

The project is in the NORTH BURNETT REGIONAL local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF143832.kml,https://cer.gov.au/sites/default/files/projectFiles/ERF143832_CEA.zip,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,25,16/07/2021,15/07/2046,n/a,n/a,47404,47404,0,0,0,0,0,0,0,0,0,41158,0,5026,1220,Terra Carbon Pty Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,No,United States
Terra Carbon Pty Limited,n/a,n/a,Catchment Conservation Alliance - Great Barrier Reef Initiative Site #7,ERF141164,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 3),https://www.legislation.gov.au/Details/F2018C00125,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,"Management of the timing, and the extent, of grazing; Management, in a humane manner, of feral animals",Feral Animals; Livestock,22/01/2020,22/01/2020,21/01/2045,Queensland,4630,"2/YL543 

The project is in the NORTH BURNETT REGIONAL local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF141164.kml,https://cer.gov.au/sites/default/files/projectFiles/ERF141164_CEA.zip,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,25,10/9/21,9/9/46,n/a,n/a,11374,11374,0,0,0,0,0,0,0,0,0,4262,0,5598,1514,Terra Carbon Pty Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,No,United States
Terra Carbon Pty Limited,n/a,n/a,Catchment Conservation Alliance - Great Barrier Reef Initiative Site #13,ERF139937,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 3),https://www.legislation.gov.au/Details/F2018C00125,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,"Management of plants that are not native to the project area; Management of the timing, and the extent, of grazing",Livestock; Plants not native to the area,16/01/2020,16/01/2020,15/01/2045,Queensland,4677,"1/FD66, 236/RP883978, 11/RP841674, 235/RP883978 

The project is in the GLADSTONE REGIONAL local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF139937.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,27/07/2021 Variation to the project area - areas listed in the project have been removed,No,United States
Terra Carbon Pty Limited,n/a,n/a,Catchment Conservation Alliance - Great Barrier Reef Initiative Site #9 (Revoked),ERF131181,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 3),https://www.legislation.gov.au/Details/F2018C00125,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,"Management of the timing, and the extent, of grazing; Management, in a humane manner, of feral animals",Feral Animals; Livestock,24/04/2019,24/04/2019,23/04/2044,Queensland,4741,"102/SP264553

The project is in the WHITSUNDAY REGIONAL local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF131181.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,29/09/2023 This project has been revoked under section 30 of the CFI Rule.,Yes,United States
Terra Carbon Pty Limited,n/a,n/a,Darling River Conservation Initiative Site #5,ERF128548,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 3),https://www.legislation.gov.au/Details/F2018C00125,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,"Management of the timing, and the extent, of grazing; Management, in a humane manner, of feral animals",Feral Animals; Livestock,8/11/18,1/1/19,31/12/2043,Queensland,4493,"1/CPNL7, 2/CPNL7, 3/CPNL7

The project is in the PAROO SHIRE local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF128548.kml,https://cer.gov.au/sites/default/files/projectFiles/ERF128548_CEA.zip,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,100,10/9/24,9/9/24,n/a,n/a,82365,82365,0,0,0,0,0,0,0,0,0,0,0,0,82365,Terra Carbon Pty Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,No,United States
Terra Carbon Pty Limited,n/a,n/a,Catchment Conservation Alliance - Great Barrier Reef Initiative Site #6,ERF122200,Carbon Credits (Carbon Farming Initiative-Avoided Clearing of Native Regrowth) Methodology Determination 2015 (Compilation No. 1),https://www.legislation.gov.au/Details/F2018C00127,Vegetation,This project avoids clearing of native forest that is permitted to be cleared on land that has historically been subject to clearing.,Avoids emissions by not clearing native forest,n/a,30/07/2018,30/07/2018,29/07/2043,Queensland,4630,"4/CPRW338

The project is in the NORTH BURNETT REGIONAL local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF122200.kml,https://cer.gov.au/sites/default/files/projectFiles/ERF122200_CEA.zip,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,25,17/09/2019,16/09/2044,n/a,n/a,16489,16489,0,0,0,0,0,0,0,9749,2383,1852,980,221,1304,Terra Carbon Pty Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,No,United States
Terra Carbon Pty Limited,n/a,n/a,Catchment Conservation Alliance - Southern Rivers Initiative Site #6 (Revoked),ERF122202,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 3),https://www.legislation.gov.au/Details/F2018C00125,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,"Management of the timing, and the extent, of grazing; Management, in a humane manner, of feral animals",Feral Animals; Livestock,19/06/2018,19/06/2018,18/06/2043,Queensland,4480,"6/CPBLO16

The project is in the QUILPIE SHIRE local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF122202.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,29/03/2022 This project has been revoked under section 30 of the CFI Rule.,Yes,United States
Terra Carbon Pty Limited,n/a,n/a,Catchment Conservation Alliance - Great Barrier Reef Initiative Site #4,ERF122050,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 3),https://www.legislation.gov.au/Details/F2018C00125,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,"Cessation of mechanical or chemical destruction, or suppression, of regrowth; Management of the timing, and the extent, of grazing","Livestock; Mechanical or chemical destruction, or suppression, of regrowth",14/06/2018,14/06/2018,13/06/2043,Queensland,4630,"40/CPYL1096, 18/CPYL1010, 5/CPRN348, 39/CPYL429, 17/CPYL996, 19/CPYL430

The project is in the BANANA SHIRE,NORTH BURNETT REGIONAL local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF122050.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,No,United States
Terra Carbon Pty Limited,n/a,n/a,GBR - Russel River Catchment Site #2 (Revoked),ERF121815,Carbon Credits (Carbon Farming Initiative) (Reforestation by Environmental or Mallee Plantings-FullCAM) Methodology Determination 2014 (Compilation No. 1),https://www.legislation.gov.au/Details/F2015C00581,Vegetation,This project establishes permanent plantings of a mix of native tree species on land that was predominantly used for agricultural purposes for at least five years prior to project commencement. The tree species are native to the local area.,Permanent mixed-species environmental planting,n/a,30/05/2018,30/05/2018,29/05/2043,Queensland,4861,"3/CP908404, 5/RP908403, 241/CPNR7387, 4/CP908404, 245/CPNR7390, 2/CP908404, 246/CPNR7390, 244/CPNR7389, 1/CP908404

The project is in the CAIRNS REGIONAL local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF121815.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,11/08/2023 This project has been revoked under section 30 of the CFI Rule.,Yes,United States
